重力ステージ１(前),,,,,,,,,,,,重力ステージ１(後ろ),,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,6,,,,,,,0,2,0,,0,,,,,,0,,,2,0
0,,,0,0,0,0,,0,,0,,0,,,,0,0,0,,,,0
0,,,,,,,,0,,0,,0,,,,,,,,,,0
0,,,,0,0,0,,0,,0,,0,,,0,0,0,0,,5,,0
0,,,,0,3,,,,,0,,0,6,,,,3,,,,,0
0,,0,,0,0,0,0,5,,0,,0,,,0,0,0,0,,,,0
0,,0,,,,,,,0,0,,0,0,0,,,,,,,,0
0,1,0,,,,,0,,,0,,0,,,,,,,,0,,0
0,,0,,,,,,,6,0,,0,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
重力ステージ２(前),,,,,,,,,,,,重力ステージ２(後ろ),,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,3,,,,,,,,,0,,0,,,,,,0,,,,0
0,,,,,,,,,,0,,0,,0,0,,,0,,0,,0
0,4,4,4,4,4,4,0,,,0,,0,,,,,,,6,0,,0
4,,,,,,,0,,,0,,0,,,,0,0,,,0,,0
4,,,,1,2,0,4,,,0,,0,,,0,,3,5,,,,0
4,,,,0,0,,4,,,0,,0,,,0,0,,,0,,,0
4,,,4,4,4,4,4,,,0,,0,,,,0,,,0,,,0
4,,,,,,,0,,,0,,0,,,,0,,,0,,,0
4,,,,,,,,,,0,,0,,,,,,,,,2,0
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
重力ステージ３(前),,,,,,,,,,,,重力ステージ３(後ろ),,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,,,1,2,,,,,,0,,0,,,,,,,3,,,0
0,,0,0,,,,0,0,,0,,0,,0,0,,,,0,0,,0
0,,,,,5,,,,,0,,0,,,,,6,,,,,0
0,0,,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,,,0
0,,,,,,,,,,0,,0,,,,,,,,,,0
0,,0,0,,,,0,0,,0,,0,,0,0,4,4,4,0,0,,0
0,4,4,,,,,4,4,,0,,0,,,,,5,,,,,0
0,0,0,0,,,0,0,0,,0,,0,,,,,,,,,,0
0,,,,,,,,3,,0,,0,,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
重力ステージ４(前),,,,,,,,,,,,重力ステージ４(後ろ),,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
0,1,,,0,0,,4,4,4,0,,0,,,,,,,,,3,0
0,,0,,,,,,,,0,,0,,0,,,,,6,,,0
0,,0,,,,0,0,0,,0,,0,,0,0,0,0,0,4,4,,0
0,,,,,3,,0,,,0,,0,,,,,,,,,,0
0,,,,,,,,,,0,,0,,,,,,,,,,0
0,,0,0,,,5,,0,,0,,0,,0,,,,5,,0,0,0
0,,0,,,,,,0,,0,,0,,0,,,,,,0,,0
0,,0,,0,0,0,,0,,0,,0,,0,,0,0,0,,0,,0
0,4,4,,,,,,,2,0,,0,4,4,,,,,,,2,0
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
